ime planinske točke,pot,zahtevnost 
Planina Konjščica,Rudno polje - Planina Konjščica,lahka označena pot
Planina Konjščica,Srednja vas - Planina Konjščica (Za Ribnico),lahka označena pot
Planina Konjščica,Uskovnica (Lom) - Planina Konjščica,lahka označena pot
Planina Konjščica,Uskovnica (Razpotje) - Planina Konjščica,lahka označena pot
Planina Konjščica (Velika planina),Kraljev hrib - Planina Konjščica (Velika planina),lahka označena pot
Planina Konjščica (Velika planina),Planina Dol - Planina Konjščica (Velika planina),lahka označena pot
Planina Koren,Kriška planina - Planina Koren,lahka označena pot
Planina Koren,Markova raven - Planina Koren (po neoznačeni poti),lahka neoznačena steza
Planina Koren,Markova raven - Planina Koren (po označeni poti),lahka označena pot
Planina Koren,Planina Jezerca - Planina Koren,lahka označena pot
Planina Korošica,Bučan - Planina Korošica,zahtevna označena pot
Planina Korošica,Koncentracijsko taborišče - Planina Korošica (lovska pot),lahka neoznačena steza
Planina Korošica,Ljubelj - Planina Korošica (mimo Koče na Ljubelju),zahtevna označena pot
Planina Korošica,Sele-Zvrhnji Kot (Male) / Zell-Oberwinkel (Male) - Planina Korošica (čez Dovjakovo sedlo),lahka označena pot
Planina Korošica,Sele-Zvrhnji Kot (Male) / Zell-Oberwinkel (Male) - Planina Korošica (čez Hajnževo sedlo),lahka označena pot
Planina Korošica,Vranček - Planina Korošica,lahka označena pot
Planina Košutna,Kriška planina - Planina Košutna,delno zahtevna označena pot
Planina Košutna,Markova raven - Planina Košutna (po označeni poti),delno zahtevna označena pot
Planina Košutna,Planina Jezerca - Planina Košutna,delno zahtevna označena pot
Planina Krnica,B Postaja - Planina Krnica,delno zahtevna označena pot
Planina Krstenica,Planina Blato - Planina Krstenica (lovska pot),lahka neoznačena steza
Planina Krstenica,Stara Fužina - Planina Krstenica,lahka označena pot
Planina Krstenica,Stara Fužina - Planina Krstenica (čez planino Zgornja Grintovica),lahka neoznačena steza
Planina Laška seč,Planina Polog - Planina Laška seč,lahka označena pot
Planina Leskovca,Planina Kuhinja - Planina Leskovca (po cesti),lahka označena pot
Planina Lom,Koča na planini Stador - Planina Lom,lahka označena pot
Planina Lopučnica,Konec ceste na Vogar - Planina Lopučnica (čez Prode),lahka označena pot
Planina Lopučnica,Konec ceste na Vogar - Planina Lopučnica (čez Štapce),delno zahtevna označena pot
Planina Lopučnica,Koča pri Savici - Planina Lopučnica (čez Komno),lahka označena pot
Planina Lopučnica,Planina Blato - Planina Lopučnica (čez Prode),lahka označena pot
Planina Lopučnica,Planina Blato - Planina Lopučnica (čez Štapce),delno zahtevna označena pot
Planina Lopučnica,Pod Zjabci - Planina Lopučnica,lahka označena pot
Planina Luža,Koprivna (Kumer) - Planina Luža,lahka označena pot
Planina Luža,Pod Peco/Koprein Petzen - Planina Luža,lahka označena pot
Planina Mali Travnik,Dolina potoka Žep - Planina Mali Travnik,lahka označena pot
Planina Mali Travnik,Ljubno ob Savinji - Planina Mali Travnik,lahka označena pot
Planina Marjanine njive,Kranjski Rak - Planina Marjanine njive (čez Seliški rob),lahka neoznačena steza
Planina Medrja,Planina Polog - Planina Medrja,lahka označena pot
Planina Možine,Planina pod Golico - Planina Možine,lahka neoznačena steza
Planina Obranica,Kočna  - Planina Obranica (od spomenika),lahka označena pot
Planina Obranica,Kočna - Planina Obranica (mimo babe),lahka označena pot
Planina Obranica,Spodnje Gorje - Planina Obranica,lahka neoznačena steza
Planina Osredek,Klemenčevo - Planina Osredek (ob Korošaških slapovih),lahka neoznačena steza
Planina Osredek,Molnarjev breg - Planina Osredek,lahka označena pot
Planina Osredek,Molnarjev breg - Planina Osredek (po cesti),lahka neoznačena steza
Planina Osredek,Slevo - Planina Osredek,delno zahtevna označena pot
Planina Osredki,Pod Luknjo - Planina Osredki,lahka označena pot
Planina Osredki,Polje - Planina Osredki,lahka označena pot
Planina Ovčarija,Konec ceste na Vogar - Planina Ovčarija,lahka označena pot
Planina Ovčarija,Koča pri Savici - Planina Ovčarija,zahtevna označena pot
Planina Ovčarija,Planina Blato - Planina Ovčarija,lahka označena pot
Planina Planinca,Dom v Dragi - Planina Planinca,lahka označena pot
Planina Planinca,Ljubelj - Planina Planinca (Bornova pot),delno zahtevna neoznačena pot
Planina Planinca,Podljubelj (Lajb) - Planina Planinca,lahka označena pot
Planina Podvežak,Planica (Planinšek) - Planina Podvežak,lahka označena pot
Planina Podvežak,Planina Podvežak - Planina Podvežak,lahka označena pot
Planina Poljana,Javorje - Planina Poljana (pot čez Glin),lahka neoznačena steza
Planina Poljana,Pod Debelo glavo - Planina Poljana,lahka neoznačena steza
Planina Poljana,Pod Debelo glavo - Planina Poljana (mimo lovske koče),lahka neoznačena steza
Planina Poljana,Vodel - Planina Poljana,lahka neoznačena steza
Planina Polšak,Planina Ravne - Planina Polšak,lahka neoznačena steza
Planina Pretovč,Krn - Planina Pretovč,lahka označena pot
Planina Pretovč,Planina Polog - Planina Pretovč,lahka označena pot
Planina Pungrat,MHE Zali potok - Planina Pungrat,lahka neoznačena steza
Planina Pungrat,Matizovec - Planina Pungrat,lahka označena pot
Planina Pungrat,Pod Krnico - Planina Pungrat,lahka označena pot
Planina Ravna,Ovčja vas / Valbruna - Planina Ravna,lahka označena pot
Planina Ravne,Planica (Planinšek) - Planina Ravne (po cesti),lahka označena pot
Planina Ravne,Podmežakla (Jesenice) - Planina Ravne (čez Zakop),lahka neoznačena steza
Planina Ravni,Bela Peč - Planina Ravni (mimo vrha Seduc),lahka neoznačena steza
Planina Ravni,Bela Peč - Planina Ravni (čez Ovčje jame),lahka neoznačena steza
Planina Ravni,Hruševka - Planina Ravni,lahka označena pot
Planina Ravni,Črnivec - Planina Ravni,lahka označena pot
Planina Rep (Repija),Planinski dom na kmetiji Kumer - Planina Rep (Repija),lahka označena pot
Planina Rep (Repija),Pod Peco / Koprein-Petzen - Planina Rep (Repija),lahka označena pot
Planina Rožca / Roschitzaalm,Podrožca / Rosenbach - Planina Rožca / Roschitzaalm,lahka označena pot
Planina Rzenik,Kraljev hrib - Planina Rzenik,lahka označena pot
Planina Rzenik,Planina Dol - Planina Rzenik,lahka označena pot
Planina Rčitno,Poljšica pri Gorjah (Zatrata) - Planina Rčitno (po pešpoti),lahka označena pot
Planina Rčitno,Zaboršt (Poljšica pri Bledu) - Planina Rčitno,lahka označena pot
Planina Seča,Dom Trilobit - Planina Seča,lahka označena pot
Planina Seča,Konec ceste pod Struško (Strmela) - Planina Seča (lovska in rudarska učna pot),delno zahtevna neoznačena pot
Planina Seča,Rute (Zavrh) / Bärental - Planina Seča,lahka označena pot
Planina Sleme,Krn - Planina Sleme,lahka označena pot
Planina Sleme,Planina Polog - Planina Sleme,lahka označena pot
Planina Spodnja Dolga njiva,Matizovec - Planina Spodnja Dolga njiva,lahka označena pot
Planina Spodnja Dolga njiva,Pod Krnico - Planina Spodnja Dolga njiva,lahka označena pot
Planina Spodnja Grintovica,Planina Blato - Planina Spodnja Grintovica,lahka neoznačena steza
Planina Spodnja Grintovica,Stara Fužina - Planina Spodnja Grintovica,lahka označena pot
Planina Spodnja Konjščica,Grahovše - Planina Spodnja Konjščica,lahka označena pot
Planina Spodnja Konjščica,Grahovše - Planina Spodnja Konjščica (mimo Tiča),lahka označena pot
Planina Spodnja Konjščica,Senožetca - Planina Spodnja Konjščica (po cesti),lahka označena pot
Planina Stamare,Dom Trilobit - Planina Stamare (Za Kraševcem),lahka neoznačena steza
Planina Stamare,Koroška Bela (RC Kres) - Planina Stamare (Gajškova pot),lahka neoznačena steza
Planina Stamare,Koroška Bela (RC Kres) - Planina Stamare (čez greben Alničja),delno zahtevna neoznačena pot
Planina Stamare,Olipova planina - Planina Stamare,lahka neoznačena steza
Planina Stamare,Pri Žagi (Javorniški Rovt)  - Planina Stamare (za Bonclo),delno zahtevna neoznačena pot
Planina Strehica,Ovčja vas / Valbruna - Planina Strehica,lahka označena pot
Planina Suha,Javorje - Planina Suha,lahka označena pot
Planina Suha,Pod Debelo glavo - Planina Suha,lahka neoznačena steza
Planina Suha,Pod Debelo glavo - Planina Suha (mimo lovske koče),lahka neoznačena steza
Planina Suha,Ribčev Laz - Planina Suha,lahka označena pot
Planina Suha,Vodel - Planina Suha,lahka neoznačena steza
Planina Travnik,Bela Peč - Planina Travnik (mimo vrha Seduc),lahka neoznačena steza
Planina Travnik,Bela Peč - Planina Travnik (čez Ovčje jame),lahka neoznačena steza
Planina Travnik,Hruševka - Planina Travnik,lahka označena pot
Planina Travnik,Tirosek (Nova Štifta) - Planina Travnik,lahka označena pot
Planina Travnik,Črnivec - Planina Travnik,lahka označena pot
Planina Viševnik,Konec ceste na Vogar - Planina Viševnik,lahka označena pot
Planina Viševnik,Koča pri Savici - Planina Viševnik,zahtevna označena pot
Planina Viševnik,Planina Blato - Planina Viševnik,lahka označena pot
Planina Viševnik,Planina Blato - Planina Viševnik (čez Krištofojco),lahka označena pot
Planina Vodični vrh,Stara Fužina - Planina Vodični vrh,lahka označena pot
Planina Vodol,Bistra - Planina Vodol,lahka označena pot
Planina Vodole,Kraljev dol - Planina Vodole,lahka označena pot
Planina Za skalo,Pod Zjabci - Planina Za skalo,lahka označena pot
Planina Za Črno goro,Bohinjska Bistrica - Planina Za Črno goro,lahka označena pot
Planina Za Črno goro,Bohinjsko sedlo - Planina Za Črno goro,lahka označena pot
Planina Za Črno goro,Petrovo Brdo - Planina Za Črno goro,lahka označena pot
Planina Za Črno goro,Podbrdo - Planina Za Črno goro (čez Vrh Bače),lahka označena pot
Planina Za Črno goro,Ravne - Planina Za Črno goro,lahka označena pot
Planina Za Črno goro,Vrh Bače - Planina Za Črno goro,lahka označena pot
Planina Zadnji Vogel,Ski hotel Vogel - Planina Zadnji Vogel,lahka označena pot
Planina Zadnji Vogel,Ukanc - Planina Zadnji Vogel (skozi Žagarjev graben),lahka označena pot
Planina Zagreben,Lepena - Planina Zagreben,delno zahtevna neoznačena pot
Planina Zajamniki,Parkirišče Uskovnica - Planina Zajamniki,lahka označena pot
Planina Zajamniki,Rudno polje - Planina Zajamniki,lahka označena pot
Planina Zajamniki,Zgornji Goreljek - Planina Zajamniki,lahka označena pot
Planina Zajavornik,Šport hotel - Planina Zajavornik,lahka označena pot
Planina Zali potok,MHE Zali potok - Planina Zali potok,lahka neoznačena steza
Planina Zaprikraj,Drežniške Ravne - Planina Zaprikraj (po cesti),lahka označena pot
Planina Zgornja Dolga njiva,Matizovec - Planina Zgornja Dolga njiva,lahka označena pot
Planina Zgornja Dolga njiva,Pod Krnico - Planina Zgornja Dolga njiva,lahka označena pot
Planina Zgornja Grintovica,Planina Blato - Planina Zgornja Grintovica,lahka neoznačena steza
Planina Zgornja Grintovica,Stara Fužina - Planina Zgornja Grintovica,lahka neoznačena steza
Planina Zgornja Konjščica,Grahovše - Planina Zgornja Konjščica (mimo Tiča),lahka označena pot
Planina Zgornja Konjščica,Grahovše - Planina Zgornja Konjščica (po cesti),lahka označena pot
Planina Zgornja Krma,Dolina Krma - Planina Zgornja Krma,lahka označena pot
Planina Zgornja Luža,Koprivna (Kumer) - Planina Zgornja Luža,lahka označena pot
Planina Zgornja Luža,Pod Peco/Koprein Petzen - Planina Zgornja Luža,lahka označena pot
Planina na Kalu,Kneške Ravne - Planina na Kalu,lahka neoznačena steza
Planina na Kalu,Planina Kuk - Planina na Kalu,lahka označena pot
Planina na Kalu,Tolminska korita - Planina na Kalu (skozi Tolminska korita in čez Tolminske Ravne),delno zahtevna označena pot
Planina na Kalu,Tolminska korita - Planina na Kalu (čez Hudičev most in čez Tolminske Ravne),delno zahtevna označena pot
Planina na Kalu,Tolminske Ravne - Planina na Kalu,lahka označena pot
Planina na Kalu,Tolminske Ravne - Planina na Kalu,lahka označena pot
Planina na Polju,Dom v Lepeni - Planina na Polju,lahka označena pot
Planina nad Sočo,Soča - Planina nad Sočo,lahka označena pot
Planina pod Mišelj vrhom,Konec ceste na Pokljuki - Planina pod Mišelj vrhom,lahka označena pot
Planina pod Mišelj vrhom,Planina Blato - Planina pod Mišelj vrhom (čez planino Spodnjo Grintovico),lahka neoznačena steza
Planina pod Mišelj vrhom,Srednja vas - Planina pod Mišelj vrhom (Za Ribnico in čez planino Spodnji Tosc),zahtevna označena pot
Planina pod Mišelj vrhom,Stara Fužina - Planina pod Mišelj vrhom,lahka označena pot
Planina pod Mišelj vrhom,Uskovnica (Lom) - Planina pod Mišelj vrhom (čez planino Spodnji Tosc),zahtevna označena pot
Planina pod Mišelj vrhom,Uskovnica (Razpotje) - Planina pod Mišelj vrhom (čez planino Spodnji Tosc),zahtevna označena pot
Planina v Lazu,Planina Blato - Planina v Lazu,lahka označena pot
Planina v Lazu,Planina Blato - Planina v Lazu (čez planino pri Jezeru),lahka označena pot
Planina v Plazeh,Vas na Skali - Planina v Plazeh,lahka neoznačena steza
Planina v Plazeh,Vas na Skali - Planina v Plazeh (po cesti),lahka neoznačena steza
Planina v Prodih,Kneške Ravne (Prošček) - Planina v Prodih,lahka neoznačena steza
Planina za Jamo,Bohinjska Bela - Planina za Jamo,lahka označena pot
Planina za Migovcem,Koča pri Savici - Planina za Migovcem (mimo Doma na Komni),lahka označena pot
Planina za Migovcem,Ski hotel Vogel - Planina za Migovcem,lahka označena pot
Planina za Migovcem,Ukanc - Planina za Migovcem,lahka neoznačena steza
Planina za Šavnikom,Kozji hrbet - Planina za Šavnikom,lahka neoznačena steza
Planina Črča,Planina Polog - Planina Črča,lahka označena pot
Planinska koča Iskra na Jakobu,Potoče - Planinska koča Iskra na Jakobu (Juhantova pot),lahka neoznačena steza
Planinska koča Iskra na Jakobu,Potoče - Planinska koča Iskra na Jakobu (mimo Francijeve koče),lahka označena pot
Planinska koča Iskra na Jakobu,Potoče - Planinska koča Iskra na Jakobu (po cesti),lahka označena pot
Planinska koča Iskra na Jakobu,Potoče - Planinska koča Iskra na Jakobu (po kolovozu),lahka označena pot
Planinska koča Iskra na Jakobu,Potoče - Planinska koča Iskra na Jakobu (po markirani poti),lahka označena pot
Planinska koča Iskra na Jakobu,Preddvor - Planinska koča Iskra na Jakobu (Juhantova pot),lahka neoznačena steza
Planinska koča Iskra na Jakobu,Preddvor - Planinska koča Iskra na Jakobu (mimo Planinske koče pri Franciju),lahka označena pot
Planinska koča Iskra na Jakobu,Preddvor - Planinska koča Iskra na Jakobu (po markirani poti),lahka označena pot
Planinska koča Merjasec,Planina Storeča raven - Planinska koča Merjasec,lahka označena pot
Planinska koča Merjasec,Ribčev Laz - Planinska koča Merjasec,lahka označena pot
Planinska koča Merjasec,Ukanc - Planinska koča Merjasec (skozi Žagarjev graben),lahka označena pot
Planinska koča Velikonočnica,Zgornja Kostrivnica - Planinska koča Velikonočnica,lahka označena pot
Planinska koča Velikonočnica,Zgornje Poljčane - Planinska koča Velikonočnica (po cesti),lahka označena pot
Planinska koča Velikonočnica,Zgornje Poljčane - Planinska koča Velikonočnica (prvi del poti čez Babo in po cesti),lahka označena pot
Planinska koča pri Franciju,Potoče - Planinska koča pri Franciju (Juhantova pot),lahka neoznačena steza
Planinska koča pri Franciju,Potoče - Planinska koča pri Franciju (po kolovozu),lahka označena pot
Planinska koča pri Franciju,Potoče - Planinska koča pri Franciju (po markirani poti),lahka označena pot
Planinska koča pri Franciju,Preddvor - Planinska koča pri Franciju (Juhantova pot),lahka neoznačena steza
Planinska koča pri Franciju,Preddvor - Planinska koča pri Franciju (po markirani poti),lahka označena pot
Planinski dom Milana Šinkovca,Komenda - Planinski dom Milana Šinkovca,lahka označena pot
Planinski dom na kmetiji Kumer,Pod Peco / Koprein-Petzen - Planinski dom na kmetiji Kumer,lahka označena pot
Planinski dom Šentjungert,Galicija - Planinski dom Šentjungert,lahka označena pot
Planinski dom Šentjungert,Lopata - Planinski dom Šentjungert,lahka označena pot
Planinsko zavetišče Slatna,Rateče (Ledine) - Planinsko zavetišče Slatna,lahka neoznačena steza
Planja,Aljažev dom v Vratih - Planja (čez Sovatno),zahtevna označena pot
Planja,Ruski križ - Planja (čez Kriško steno),zelo zahtevna označena pot
Planja,Vršič - Planja,zahtevna označena pot
Planja,Zadnjica - Planja,zahtevna označena pot
Planja (nad Mangartsko planino),Mangartska planina - Planja (nad Mangartsko planino),delno zahtevna neoznačena pot
Planjava,Dom v Kamniški Bistrici - Planjava (skozi Repov kot),zahtevno brezpotje
Planjava,Jermanca - Planjava (skozi Repov kot),zahtevno brezpotje
Planjava,Jermanca - Planjava (čez Kamniško sedlo),zahtevna označena pot
Planjava,Koča pod slapom Rinka  - Planjava,zahtevna označena pot
Planjava,Kraljev dol - Planjava (čez Srebrno sedlo),zahtevna označena pot
Planjava,Lovska koča na Brežičih - Planjava (čez Srebrno sedlo),zahtevna neoznačena steza
Planjava,Na Razpotju - Planjava,zahtevna označena pot
Planjava,Planina  Ravne - Planjava (čez Dolgo trato in Škarje),zahtevna označena pot
Planjava,Planina Podvežak - Planjava (čez Srebrno sedlo),zahtevna označena pot
Planjava,Planina Podvežak - Planjava (čez Škarje),zahtevna označena pot
Planjava,Planina Ravne - Planjava (čez Dolgo trato in Srebrno sedlo),zahtevna označena pot
Planjava,Pred Belo - Planjava,zahtevna označena pot
Planjava pri Kamniškem vrhu,Molnarjev breg - Planjava pri Kamniškem vrhu,lahka označena pot
Planjava pri Kamniškem vrhu,Molnarjev breg - Planjava pri Kamniškem vrhu (po cesti),lahka neoznačena steza
Planjava pri Kamniškem vrhu,Molnarjev breg - Planjava pri Kamniškem vrhu (čez planino Osredek),lahka označena pot
Planjava pri Kamniškem vrhu,Slevo - Planjava pri Kamniškem vrhu,zahtevna neoznačena steza
Plaski Vogel,Pod Zjabci - Plaski Vogel (čez Travnik),zahtevno brezpotje
Plesišče,Rudno polje - Plesišče,lahka označena pot
Plesnikova planina,Hotel Plesnik - Plesnikova planina,lahka označena pot
Pleče,Begunje (Krpin) - Pleče (ob smučišču in mimo Sankaške koče),lahka neoznačena steza
Pleče,Begunje (Krpin) - Pleče (po cesti),lahka neoznačena steza
Pleče,Begunje (PGD Begunje) - Pleče (Petrova pot),lahka neoznačena steza
Pleče,Rodine - Pleče (mimo Sankaške koče),lahka neoznačena steza
Plešivec,Jezerski vrh - Plešivec,lahka neoznačena steza
Plešivec,Pod Krnico - Plešivec,lahka neoznačena steza
Plešivec,Smrečje - Plešivec (po cesti),lahka neoznačena steza
Plešivec,Studenice - Plešivec,lahka označena pot
Plešivec,Studenice - Plešivec (zaključek po gozdni cesti),lahka označena pot
Plešivec (Loška stena),Bavšica - Plešivec (Loška stena),delno zahtevna neoznačena pot
Plešivec (Loška stena),Loška Koritnica - Plešivec (Loška stena),zelo zahtevna označena pot
Plešivška kopa (Kozarnica),Poštarski dom pod Plešivcem - Plešivška kopa (Kozarnica),delno zahtevna neoznačena pot
Podgorska planina / Maria Elender Alm,Rute / Greuth - Podgorska planina / Maria Elender Alm,lahka označena pot
Podkanjski slap / Wildensteiner Wasserfall,Podkanja vas / Wildenstein - Podkanjski slap / Wildensteiner Wasserfall,lahka označena pot
Podrta gora,Koča pri Savici - Podrta gora (pristop po grebenu iz zahodne strani),zahtevno brezpotje
Podrta gora,Ski hotel Vogel - Podrta gora (po BPP pod Rušnatim vrhom in čez Mejo in Škrbino),zelo zahtevna označena pot
Podrta gora,Ski hotel Vogel - Podrta gora (po Bohinjski planinski poti),zahtevno brezpotje
Pogačnikov dom na Kriških podih,Aljažev dom v Vratih - Pogačnikov dom na Kriških podih (čez Sovatno),delno zahtevna označena pot
Pogačnikov dom na Kriških podih,Pišnica - Pogačnikov dom na Kriških podih,zelo zahtevna označena pot
Pogačnikov dom na Kriških podih,Ruski križ - Pogačnikov dom na Kriških podih (čez Kriško steno),zelo zahtevna označena pot
Pogačnikov dom na Kriških podih,Zadnjica - Pogačnikov dom na Kriških podih,lahka označena pot
Poglejska cerkev,Poljšica pri Gorjah - Poglejska cerkev,lahka označena pot
Pogorevc,Žerjav - Pogorevc,lahka neoznačena steza
Pokljuška soteska (luknja),Krnica - Pokljuška soteska (luknja),lahka označena pot
Poldašnja špica/Jof di Miezegnot,Ovčja vas / Valbruna - Poldašnja špica/Jof di Miezegnot (čez Planino Ravne),zahtevna označena pot
Poldašnja špica/Jof di Miezegnot,Ovčja vas / Valbruna - Poldašnja špica/Jof di Miezegnot (čez Planino Strehica),zahtevna označena pot
Poldašnja špica/Jof di Miezegnot,Planina Zajzera - Poldašnja špica/Jof di Miezegnot,delno zahtevna označena pot
Police,Rekarjev rovt - Police,lahka neoznačena steza
Poljanska baba,Kočna - Poljanska baba,lahka označena pot
Poljanski rob,Kranjski Rak  - Poljanski rob (pešpot),lahka neoznačena steza
Poljanski rob,Kranjski Rak - Poljanski rob (čez Seliški rob),lahka neoznačena steza
Poljanski rob,Stahovica - Poljanski rob,lahka označena pot
Poljanski vrh,Pod Luknjo - Poljanski vrh,delno zahtevna označena pot
Poljanski vrh,Podbrdo - Poljanski vrh (čez Črno prst),delno zahtevna označena pot
Poljanski vrh,Polje - Poljanski vrh,delno zahtevna označena pot
Poljanski vrh,Ravne - Poljanski vrh (čez Črno prst),delno zahtevna označena pot
Polna peč,Bučan - Polna peč,lahka označena pot
Polna peč,Ljubelj - Polna peč,lahka označena pot
Poprovec,Planina Blato - Poprovec (čez Planino Krstenico in po Dolini za Debelim vrhom),lahko brezpotje
Poprovec,Planina Blato - Poprovec (čez Planino v Lazu in po Dolini za Debelim vrhom),lahko brezpotje
Poprovec,Zadnjica - Poprovec (čez Dolič),zahtevna označena pot
Potočka zijalka,Podolševa (Rogar) - Potočka zijalka,lahka označena pot
Potočka zijalka,"Podolševa (Sveti Duh, Strevc) - Potočka zijalka",lahka označena pot
Potočka zijalka,"Podolševa (Sveti Duh, Strevc) - Potočka zijalka (čez sedlo Sveti Duh)",lahka označena pot
Potočnikova planina,Ljubelj - Potočnikova planina (Bornova pot),delno zahtevna neoznačena pot
Potoška gora,Potoče - Potoška gora,lahka označena pot
Potoška gora,Spodnja Kokra - Potoška gora,lahka označena pot
Potoška planina,Koroška Bela (RC Kres) - Potoška planina (lovska pot čez skalo),delno zahtevna neoznačena pot
Potoška planina,Koroška Bela - Potoška planina (čez Spodnje rovte),lahka neoznačena steza
Potoška planina,Poljana (Završnica) - Potoška planina (mimo Valvasorjevega doma),lahka označena pot
Potoška planina,Poljana (Završnica) - Potoška planina (po cesti),lahka označena pot
Potoški Stol,Dom Trilobit - Potoški Stol (čez Rido),lahka označena pot
Potoški Stol,Olipova planina - Potoški Stol,lahka neoznačena steza
Potoški Stol,Poljana (Završnica) - Potoški Stol (Žirovniška pot),lahka označena pot
Potoški Stol,Urbas - Potoški Stol,lahka neoznačena steza
Potoški Stol,Valvasorjev dom pod Stolom - Potoški Stol,lahka označena pot
Povšnarjeva planina,Makekova Kočna - Povšnarjeva planina (čez Murijevo planino in mimo Ovče koče),lahka neoznačena steza
Počitniški dom v Možnici,Možnica - Počitniški dom v Možnici (po cesti),lahka označena pot
Počka (Robnikova) planina,Dolina potoka Žep - Počka (Robnikova) planina,lahka označena pot
Poštarski dom na Vršiču,Erjavčeva koča na Vršiču - Poštarski dom na Vršiču (po pešpoti),lahka označena pot
Poštarski dom na Vršiču,Erjavčeva koča na Vršiču - Poštarski dom na Vršiču (po stari cesti),lahka označena pot
Poštarski dom na Vršiču,Koča na Gozdu - Poštarski dom na Vršiču (po stari cesti),lahka neoznačena steza
Poštarski dom na Vršiču,Koča pri izviru Soče - Poštarski dom na Vršiču,lahka označena pot
Poštarski dom na Vršiču,Tonkina koča na Vršiču - Poštarski dom na Vršiču (po stari cesti),lahka označena pot
Poštarski dom na Vršiču,Vršič - Poštarski dom na Vršiču,lahka označena pot
Poštarski dom pod Plešivcem,Rimski Vrelec - Poštarski dom pod Plešivcem,lahka označena pot
Poštarski dom pod Plešivcem,Slovenj Gradec - Poštarski dom pod Plešivcem,lahka označena pot
Poštarski dom pod Plešivcem,Stari trg - Poštarski dom pod Plešivcem,lahka neoznačena steza
Poštarski dom pod Plešivcem,Sveti Rok (Sele) - Poštarski dom pod Plešivcem,lahka označena pot
Požar,Dolina Kot - Požar,delno zahtevna neoznačena pot
Požar,Kosmačev preval - Požar,delno zahtevna neoznačena pot
Požgana Mlinarica,Dolina Kot - Požgana Mlinarica,zahtevna neoznačena steza
Požgana Mlinarica,Kosmačev preval - Požgana Mlinarica,zahtevna neoznačena steza
Požgana Mlinarica,Turkov rovt (Vrata) - Požgana Mlinarica,lahko brezpotje
Požgani rob,Žabnica / Bodental - Požgani rob,lahka neoznačena steza
Praprotnikova koča,Jekarica - Praprotnikova koča,lahka označena pot
Praprotnikova koča,MHE Zabukovec - Praprotnikova koča,lahka označena pot
Prednje Robičje,Erjavčeva koča na Vršiču - Prednje Robičje,lahka neoznačena steza
Prednje Robičje,Vršič - Prednje Robičje,lahka neoznačena steza
Prestreljenik,B postaja - Prestreljenik (čez Krnico),zahtevna označena pot
Prestreljenik,D postaja - Prestreljenik,delno zahtevna označena pot
Prestreljenik,D postaja - Prestreljenik (mimo okna in po ferati - krožna pot),zelo zahtevna označena pot
Prestreljenik,Gozdec - Prestreljenik (mimo doma Petra Skalarja),zahtevna označena pot
Prestreljenik,Nevejski Preval - Prestreljenik (mimo koče Gilberti),zahtevna označena pot
Prestreljenik,Nevejski preval - Prestreljenik (po smučarski progi),delno zahtevna označena pot
Prestreljenik,Nevejski preval - Prestreljenik (pot 636),zahtevna označena pot
Prestreljeniško okno,D postaja - Prestreljeniško okno,zahtevna označena pot
Prestreljeniško okno,Križišče nad B postajo - Prestreljeniško okno,zahtevna označena pot
Prestreljeniško okno,Križišče nad B postajo - Prestreljeniško okno (Ferata),zelo zahtevna označena pot
Prevala,Bela Peč - Prevala (čez Ojstri vrh),lahka neoznačena steza
Prevala,Bela Peč - Prevala (čez Ovčje jame),lahka neoznačena steza
Prevala,Hruševka - Prevala,lahka označena pot
Prevalski Stog,Konec ceste na Pokljuki - Prevalski Stog,delno zahtevna neoznačena pot
Prevalski Stog,Planina Blato - Prevalski Stog,delno zahtevna neoznačena pot
Prevalski Stog,Planina Blato - Prevalski Stog (čez Adama in Evo),lahko brezpotje
Prevalski Stog,Stara Fužina - Prevalski Stog (čez planino Krstenica),delno zahtevna neoznačena pot
Prešernova koča na Stolu,Ljubelj - Prešernova koča na Stolu (mimo Vatelce oz. Sklede),delno zahtevna označena pot
Prešernova koča na Stolu,Ljubelj - Prešernova koča na Stolu (zgornja pot),delno zahtevna označena pot
Prešernova koča na Stolu,Podnar / Bodenbauer - Prešernova koča na Stolu,zahtevna označena pot
Prešernova koča na Stolu,Podnar / Bodenbauer - Prešernova koča na Stolu (čez Karweg),lahka neoznačena steza
Prešernova koča na Stolu,Podnar / Bodenbauer - Prešernova koča na Stolu (čez melišče),lahko brezpotje
Prešernova koča na Stolu,Poljana (Završnica) - Prešernova koča na Stolu (Zabreška pot),lahka označena pot
Prešernova koča na Stolu,Poljana (Završnica) - Prešernova koča na Stolu (Žirovniška pot),lahka označena pot
Prešernova koča na Stolu,Razpotje Vragovec - Prešernova koča na Stolu (čez Doslovško planino in mimo lovske koče),lahka neoznačena steza
Prešernova koča na Stolu,Razpotje Vragovec - Prešernova koča na Stolu (čez Zabreško planino),lahka označena pot
Prešernova koča na Stolu,Tinčkova koča - Prešernova koča na Stolu (mimo lovske koče nad Doslovško planino),lahka neoznačena steza
Prešernova koča na Stolu,Trate / Johannsenruhe - Prešernova koča na Stolu (mimo Celovške koče),delno zahtevna označena pot
Prešernova koča na Stolu,Valvasorjev dom - Prešernova koča na Stolu (Zabreška pot),lahka označena pot
Prešernova koča na Stolu,Valvasorjev dom - Prešernova koča na Stolu (Žirovniška pot),lahka označena pot
